SSC-cover: 0.0 #test cases: 0 #adversarial examples: 0
SSC-cover: 0.1276595744680851 #test cases: 31 #adversarial examples: 8 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 7) #cond_pos 
SSC-cover: 0.1279432624113475 #test cases: 31 #adversarial examples: 9 #diff: 0.04313728458741134 #dec_layer: dense_2 #dec_pos: (0, 29) #cond_pos 
SSC-cover: 0.12822695035460993 #test cases: 32 #adversarial examples: 9 #diff: 0.04313728365243652 #dec_layer: dense_2 #dec_pos: (0, 61) #cond_pos 
SSC-cover: 0.12851063829787235 #test cases: 33 #adversarial examples: 9 #diff: 0.011764734165341295 #dec_layer: dense_2 #dec_pos: (0, 49) #cond_pos 
SSC-cover: 0.13617021276595745 #test cases: 34 #adversarial examples: 9 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 87) #cond_pos 
SSC-cover: 0.14382978723404255 #test cases: 35 #adversarial examples: 9 #diff: 0.0039215980791578176 #dec_layer: dense_1 #dec_pos: (0, 12) #cond_pos 
SSC-cover: 0.14411347517730497 #test cases: 36 #adversarial examples: 9 #diff: 0.003921597144182942 #dec_layer: dense_2 #dec_pos: (0, 54) #cond_pos 
SSC-cover: 0.14439716312056738 #test cases: 37 #adversarial examples: 9 #diff: 0.08627453878814101 #dec_layer: dense_2 #dec_pos: (0, 27) #cond_pos 
SSC-cover: 0.15205673758865249 #test cases: 38 #adversarial examples: 9 #diff: 0.003921596209208178 #dec_layer: dense_1 #dec_pos: (0, 47) #cond_pos 
SSC-cover: 0.15971631205673759 #test cases: 39 #adversarial examples: 9 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 24) #cond_pos 
SSC-cover: 0.1673758865248227 #test cases: 40 #adversarial examples: 9 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 112) #cond_pos 
SSC-cover: 0.1750354609929078 #test cases: 41 #adversarial examples: 9 #diff: 0.01176473533405975 #dec_layer: dense_1 #dec_pos: (0, 118) #cond_pos 
SSC-cover: 0.1753191489361702 #test cases: 42 #adversarial examples: 9 #diff: 0.0352941456963034 #dec_layer: dense_2 #dec_pos: (0, 21) #cond_pos 
SSC-cover: 0.17560283687943262 #test cases: 43 #adversarial examples: 9 #diff: 0.03529414616379084 #dec_layer: dense_2 #dec_pos: (0, 32) #cond_pos 
SSC-cover: 0.18326241134751772 #test cases: 44 #adversarial examples: 9 #diff: 0.003921597611670435 #dec_layer: dense_1 #dec_pos: (0, 92) #cond_pos 
SSC-cover: 0.18354609929078014 #test cases: 45 #adversarial examples: 9 #diff: 0.023529441216412705 #dec_layer: dense_2 #dec_pos: (0, 7) #cond_pos 
SSC-cover: 0.19120567375886524 #test cases: 45 #adversarial examples: 10 #diff: 0.003921598312901509 #dec_layer: dense_1 #dec_pos: (0, 108) #cond_pos 
SSC-cover: 0.19886524822695034 #test cases: 46 #adversarial examples: 10 #diff: 0.003921597377926744 #dec_layer: dense_1 #dec_pos: (0, 125) #cond_pos 
